교차로코드,입력일자,교차로명칭,유형코드,연동교차로코드,구코드 (공통);,지번,구경찰서 (공통);,신경찰서 (공통);,작업구분 (공통);,표출구분 (공통);,고객번호,계약종별,계량기번호,도로구분 (공통);,관할사업소 (공통);,교차로관리번호,공간데이터,신규정규화ID,이력ID,동코드 (공통);,공사형태 (공통);,지도표출구분,X좌표,Y좌표,위도,경도
1360,,문성중,1,0.0,540.0,47-17대,260.0,260.0,1,2,,,,1.0,105.0,82-0000004006,,2140332.0,4006,10200.0,,N,191833.163640213,541926.268596722,37.47673725011818,126.9076702029153
1361,,난곡중(연등),2,1362.0,540.0,906-47 도,290.0,290.0,1,2,,,,1.0,105.0,82-0000000016,,2140844.0,16,10200.0,,N,192096.293361732,541968.996244291,37.4771245169632,126.910644542282
1362,,미성초교,1,0.0,620.0,1482-8대,290.0,290.0,1,2,,,,1.0,105.0,82-0000002200,,2150242.0,2200,10200.0,,N,192285.275842259,541998.327447076,37.47739039002904,126.9127807767318
1363,,미성초교(연등),3,1362.0,620.0,1642-1 도,290.0,290.0,1,2,,,,1.0,105.0,82-0000004887,,2150352.0,4887,10200.0,,N,192366.462496931,542011.266470572,37.47750764569975,126.9136985017411
1364,,난곡우체국앞,3,0.0,620.0,1642-1도,290.0,290.0,1,2,,,,1.0,105.0,82-0000002378,,,2378,10200.0,,N,192511.09566364,542033.078867834,37.4777053602643,126.9153334388663
1365,,난우지구대,1,0.0,620.0,527-15대,290.0,290.0,1,2,,,,1.0,105.0,82-0000003422,,2151602.0,3422,10200.0,,N,192478.013301642,542259.430642313,37.47974454013238,126.9149571121136
1366,,국민은행난곡,1,1367.0,620.0,1566-32대,290.0,290.0,1,2,,,,1.0,105.0,82-0000002230,,2150732.0,2230,10200.0,,N,192540.138236392,541926.941605913,37.47674928919723,126.9156628569485
1367,,난곡119안전센터,1,0.0,620.0,산197-1임,290.0,290.0,1,2,,,,1.0,105.0,82-0000002145,,2150812.0,2145,10200.0,,N,192584.352503149,541832.540350165,37.47589908132257,126.9161636690712
1368,,난우초교입구,1,1367.0,620.0,808-169천,290.0,290.0,1,2,,,,1.0,105.0,82-0000001931,,,1931,10200.0,,N,192639.240300346,541762.054400124,37.47526443528035,126.9167848972068
1369,,세이브마트,1,0.0,620.0,808-647 천,290.0,290.0,1,2,,,,1.0,105.0,82-0000000017,,2069072.0,17,10200.0,,N,192709.646567966,541620.045665538,37.4739854815807,126.9175822607438
