시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명,반경500m_사고지점수,반경500m_사고건수합계
유치원,화랑유치원,서울특별시 강동구 천중로35길 37,서울특별시 강동구 천호3동 56-34,37.5428867,127.1378446,서울특별시 강동구청,강동경찰서,Y,3,8,2023-08-18,3240000,서울특별시 강동구,15,63
어린이집,구립암사어린이집,서울특별시 강동구 상암로4가길 28,서울특별시 강동구 암사2동 510-25,37.55061052,127.1249616,서울특별시 강동구청,강동경찰서,Y,3,6,2023-08-18,3240000,서울특별시 강동구,12,60
특수학교,한국구화학교,서울특별시 강동구 고덕로 295-59,서울특별시 강동구 고덕2동 297,37.5582554,127.158909,서울특별시 강동구청,강동경찰서,Y,3,4,2023-08-18,3240000,서울특별시 강동구,3,12
유치원,한영중고등학교병설유치원,서울특별시 강동구 동남로 832,서울특별시 강동구 상일동 166,37.54914056,127.1577731,서울특별시 강동구청,강동경찰서,Y,2,8~11,2023-08-18,3240000,서울특별시 강동구,3,12
유치원,강일늘사랑유치원,서울특별시 강동구 아리수로98길 62,서울특별시 강동구 강일동 685-2,37.56314695,127.1783206,서울특별시 강동구청,강동경찰서,Y,1,22,2023-08-18,3240000,서울특별시 강동구,3,12
유치원,위례초병설유치원,서울특별시 강동구 명일로 23,서울특별시 강동구 둔촌1동 176-2,37.5223146,127.1394366,서울특별시 강동구청,강동경찰서,N,0,18,2023-08-18,3240000,서울특별시 강동구,3,21
유치원,길동초병설유치원,서울특별시 강동구 양재대로116길 57,서울특별시 강동구 길동 362,37.5380968,127.1435022,서울특별시 강동구청,강동경찰서,N,0,6,2023-08-18,3240000,서울특별시 강동구,12,57
어린이집,성심어린이집,서울특별시 강동구 천호대로193길 23-3,서울특별시 강동구 길동 401-2,37.53621522,127.1445702,서울특별시 강동구청,강동경찰서,Y,1,6,2023-08-18,3240000,서울특별시 강동구,12,57
어린이집,구립둔촌어린이집,서울특별시 강동구 명일로 129,서울특별시 강동구 둔촌2동 81-4,37.5305225,127.1430056,서울특별시 강동구청,강동경찰서,Y,4,15,2023-08-18,3240000,서울특별시 강동구,9,42
어린이집,구립곡교어린이집,서울특별시 강동구 천중로14길 33-5,서울특별시 강동구 천호2동 362-20,37.5435022,127.1278081,서울특별시 강동구청,강동경찰서,Y,2,4,2023-08-18,3240000,서울특별시 강동구,15,75
어린이집,구립보람나무어린이집,서울특별시 강동구 암사길 57,서울특별시 강동구 암사동 474-8,37.5521214,127.1357452,서울특별시 강동구청,강동경찰서,Y,1,11,2023-08-18,3240000,서울특별시 강동구,12,48
어린이집,강동아이슐레어린이집,서울특별시 강동구 고덕로24가길 36,서울특별시 강동구 암사1동 437-1,37.55322569,127.137505,서울특별시 강동구청,강동경찰서,Y,1,6,2023-08-18,3240000,서울특별시 강동구,12,48
어린이집,강일어린이집,서울특별시 강동구 풍산로 235,서울특별시 강동구 강일동 348-1,37.56911869,127.1785799,서울특별시 강동구청,강동경찰서,Y,1,15,2023-08-18,3240000,서울특별시 강동구,3,12
